scenario_name,severity_level,probability,stage1_cost,proc_vrp_cost,dist_vrp_cost,vrp_cost,spoilage_cost,emergency_cost,penalty_cost,total_cost,n_operable_vehicles
Normal Monsoon Day,1,0.5381,63604024.3,1972523.8988504864,1681370.3793516785,3653894.278202165,0.0,0.0,6296824.2,73554742.77820216,8
Light Rain,2,0.3181,63604024.3,1480211.9635070404,1688352.3582702593,3168564.3217773,0.0,0.0,4924844.5649999995,71697433.1867773,8
Moderate Rain,3,0.1089,63604024.3,2088949.5245924352,1752233.5899311507,3841183.114523586,0.0,0.0,2368576.62,69813784.03452359,8
Heavy Rain,4,0.0283,63604024.3,1270834.9596077933,1693578.5879700156,2964413.5475778086,30820471.41560376,0.0,28125264.355,125514173.61818157,4
Tropical Storm/Typhoon,5,0.0065,63604024.3,0.0,0.0,0.0,91306324.76335852,0.0,38353522.905,193263871.96835852,0
