scenario_name,severity_level,probability,stage1_cost,routing_cost,penalty_cost,spoilage_cost,emergency_cost,total_cost,status
Normal Monsoon Day,1,0.24645161290322584,1090584520.0,9943465.977759313,0.0,0.0,0.0,1100527985.9777594,Optimal
Normal Monsoon Day,1,0.2335483870967742,1090584520.0,9943465.977759313,0.0,0.0,0.0,1100527985.9777594,Optimal
Moderate Rain,3,0.22967741935483868,1090584520.0,10121792.081039958,0.0,0.0,0.0,1100706312.08104,Optimal
Heavy Rain (data-driven),4,0.17419354838709675,1090584520.0,5293718.239558278,0.0,0.0,0.0,1095878238.2395582,Optimal
Tropical Storm/Typhoon (data-driven),5,0.11612903225806452,1090584520.0,0.0,6608700000.0,0.0,0.0,7699284520.0,NoVehicles
