scenario_name,severity_level,probability,stage1_cost,vrp_cost,emergency_cost,spoilage_cost,penalty_cost,total_cost
Normal Monsoon Day,1,0.3,2613964944.2173,454073.64495012135,94604886.0,0.0,0.0,2709023903.86225
Light Rain,2,0.25,2613964944.2173,318255.6834219488,94604886.0,0.0,0.0,2708888085.900722
Moderate Rain,3,0.2,2613964944.2173,302922.04152626754,94604886.0,0.0,0.0,2708872752.2588263
Heavy Rain,4,0.15,2613964944.2173,295820.37985289533,635829586.4000001,468974272.3301,1547593347.4618502,5266657970.789103
Tropical Storm/Typhoon,5,0.1,2613964944.2173,316389.49888829084,0.0,630200371.2973,7182821880.4,10427303585.413488
